dataset,model,model_type,n_features,train_time,accuracy_mean,accuracy_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,primary_metric
WDBC_BreastCancer,Logistic Regression,BASELINE,23,0.16440081596374512,0.9526005278683435,0.022562759714987446,0.952237549026413,0.02296180318297497,0.9903803744083797,0.008830215713750233,0.9526005278683435
WDBC_BreastCancer,Decision Tree,BASELINE,23,0.11244034767150879,0.9297469337059463,0.02209972068072228,0.9297650119555165,0.02195756246169168,0.9249254571355783,0.021598225967881426,0.9297469337059463
WDBC_BreastCancer,Random Forest,BASELINE,23,1.2045414447784424,0.947290793355069,0.014632604784469446,0.9469037053819653,0.01484051463226634,0.9901071805510064,0.005287083031687542,0.947290793355069
WDBC_BreastCancer,Extra Trees,BASELINE,23,0.846160888671875,0.9613724576929048,0.022574828498321497,0.9611642085633865,0.022639758511660255,0.9906885542367035,0.005480359056680354,0.9613724576929048
WDBC_BreastCancer,Gradient Boosting,BASELINE,23,3.2322914600372314,0.9420431609998448,0.02113177070958502,0.9420043831618509,0.02115746606510704,0.9830405343343438,0.01483771585999111,0.9420431609998448
WDBC_BreastCancer,XGBoost,BASELINE,23,0.33850789070129395,0.9525850023288308,0.014184039772265514,0.9525402803244049,0.014364934734858881,0.9897019065296171,0.006938619304200513,0.9525850023288308
WDBC_BreastCancer,RLT-RandomForest,RLT,18,1.246049165725708,0.9473218444340941,0.019941925467578975,0.9469687122321467,0.020215140149877887,0.9889068584634421,0.006414004373401374,0.9473218444340941
WDBC_BreastCancer,RLT-ExtraTrees,RLT,18,0.8602705001831055,0.9578636857630801,0.02101646585214304,0.957542823333859,0.02114863365345523,0.9926055688133972,0.004492879692192386,0.9578636857630801
WDBC_BreastCancer,RLT-GradientBoosting,RLT,18,2.7554256916046143,0.940304300574445,0.02437232799131076,0.9404521740445162,0.024198465850473597,0.9850971028583213,0.009949817504965375,0.940304300574445
WDBC_BreastCancer,RLT-XGBoost,RLT,18,0.34689760208129883,0.9561092997981679,0.014622602276360136,0.9561740317644658,0.01443641811443741,0.9895508927813218,0.007791193244288899,0.9561092997981679
